Label (Grouping),"Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Total!!Margin of Error","Montgomery County, Maryland!!Below poverty level!!Estimate","Montgomery County, Maryland!!Below poverty level!!Margin of Error","Montgomery County, Maryland!!Percent below poverty level!!Estimate","Montgomery County, Maryland!!Percent below poverty level!!Margin of Error"
Population for whom poverty status is determined,"1,074,449",±953,"79,239","±9,801",7.40%,±0.9
    AGE,,,,,,
        Under 18 years,"241,530",±974,"22,422","±5,427",9.30%,±2.2
            Under 5 years,"59,860",±273,"5,337","±2,068",8.90%,±3.4
            5 to 17 years,"181,670",±943,"17,085","±4,126",9.40%,±2.3
            Related children of householder under 18 years,"240,406","±1,200","21,298","±5,429",8.90%,±2.3
        18 to 64 years,"642,102",±253,"42,364","±5,198",6.60%,±0.8
            18 to 34 years,"211,180",±325,"16,606","±3,018",7.90%,±1.4
            35 to 64 years,"430,922",±386,"25,758","±4,088",6.00%,±0.9
        60 years and over,"255,321","±3,629","18,514","±2,528",7.30%,±1.0
        65 years and over,"190,817",±239,"14,453","±2,111",7.60%,±1.1
    SEX,,,,,,
        Male,"523,105",±971,"35,323","±4,864",6.80%,±0.9
        Female,"551,344",±550,"43,916","±6,144",8.00%,±1.1
    RACE AND HISPANIC OR LATINO ORIGIN,,,,,,
        White alone,"430,674","±5,644","16,107","±3,632",3.70%,±0.8
        Black or African American alone,"202,283","±4,463","25,989","±7,223",12.80%,±3.5
        American Indian and Alaska Native alone,"6,254","±2,036","1,001",±894,16.00%,±13.7
        Asian alone,"170,325","±4,420","11,247","±3,380",6.60%,±2.0
        Native Hawaiian and Other Pacific Islander alone,N,N,N,N,N,N
        Some other race alone,"135,594","±11,353","16,870","±5,548",12.40%,±3.9
        Two or more races,"128,836","±11,916","7,978","±2,001",6.20%,±1.6
        Hispanic or Latino origin (of any race),"233,297",±877,"24,620","±5,829",10.60%,±2.5
"        White alone, not Hispanic or Latino","407,329","±3,211","14,150","±3,116",3.50%,±0.8
    EDUCATIONAL ATTAINMENT,,,,,,
        Population 25 years and over,"748,653",±288,"50,057","±5,266",6.70%,±0.7
            Less than high school graduate,"61,950","±5,841","12,735","±3,246",20.60%,±4.9
            High school graduate (includes equivalency),"100,928","±6,763","11,416","±2,642",11.30%,±2.5
"            Some college, associate's degree","124,354","±6,896","9,798","±2,456",7.90%,±1.9
            Bachelor's degree or higher,"461,421","±9,335","16,108","±2,373",3.50%,±0.5
    EMPLOYMENT STATUS,,,,,,
        Civilian labor force 16 years and over,"605,886","±7,342","24,891","±3,669",4.10%,±0.6
            Employed,"579,144","±7,802","18,857","±3,058",3.30%,±0.5
                Male,"293,936","±5,367","7,060","±1,720",2.40%,±0.6
                Female,"285,208","±5,248","11,797","±2,449",4.10%,±0.9
            Unemployed,"26,742","±3,614","6,034","±1,928",22.60%,±5.9
                Male,"14,513","±2,578","3,666","±1,393",25.30%,±7.7
                Female,"12,229","±2,442","2,368","±1,081",19.40%,±7.4
    WORK EXPERIENCE,,,,,,
        Population 16 years and over,"862,450","±2,027","58,339","±5,817",6.80%,±0.7
"            Worked full-time, year-round in the past 12 months","437,616","±9,086","5,433","±1,552",1.20%,±0.4
            Worked part-time or part-year in the past 12 months,"186,600","±7,568","17,900","±3,548",9.60%,±1.8
            Did not work,"238,234","±7,762","35,006","±4,066",14.70%,±1.6
    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS,,,,,,
        50 percent of poverty level,"44,218","±7,576",(X),(X),(X),(X)
        125 percent of poverty level,"95,163","±10,091",(X),(X),(X),(X)
        150 percent of poverty level,"126,294","±11,998",(X),(X),(X),(X)
        185 percent of poverty level,"160,442","±13,597",(X),(X),(X),(X)
        200 percent of poverty level,"178,333","±14,956",(X),(X),(X),(X)
        300 percent of poverty level,"280,341","±18,149",(X),(X),(X),(X)
        400 percent of poverty level,"369,979","±16,393",(X),(X),(X),(X)
        500 percent of poverty level,"481,222","±15,086",(X),(X),(X),(X)
UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED,"188,614","±8,216","35,238","±3,986",18.70%,±2.0
    Male,"83,866","±6,003","16,821","±3,079",20.10%,±3.5
    Female,"104,748","±5,431","18,417","±2,555",17.60%,±2.1
    15 years,632,±567,632,±567,100.00%,±28.1
    16 to 17 years,492,±300,492,±300,100.00%,±33.7
    18 to 24 years,"12,833","±2,185","4,220","±1,356",32.90%,±9.4
    25 to 34 years,"39,499","±4,126","5,216","±1,663",13.20%,±4.4
    35 to 44 years,"33,242","±3,854","4,840","±1,405",14.60%,±4.1
    45 to 54 years,"19,502","±3,009","3,733","±1,291",19.10%,±6.3
    55 to 64 years,"29,170","±2,922","6,923","±1,888",23.70%,±5.5
    65 to 74 years,"28,968","±2,727","5,438","±1,395",18.80%,±4.7
    75 years and over,"24,276","±2,104","3,744",±969,15.40%,±4.0
    Mean income deficit for unrelated individuals (dollars),"9,921",±633,(X),(X),(X),(X)
"    Worked full-time, year-round in the past 12 months","99,185","±6,783","2,721","±1,029",2.70%,±1.0
"    Worked less than full-time, year-round in the past 12 months","34,520","±3,123","9,461","±2,088",27.40%,±5.3
    Did not work,"54,909","±3,973","23,056","±3,441",42.00%,±4.7
    Population in housing units for whom poverty status is determined,"1,072,150",±964,"77,363","±9,829",7.20%,±0.9
