School Name,Total,Female,Male,X,AM,AS,BL,HI,PI,2+,WH,EML,FARMS,Spec. Ed.,Ever FARMS,Attendance Rate? ,Graduation Rate? ,Dropout Rate? ,Mobility Rate?,Stud/Instr Staff Ratio,English Class Size,Other Class Size
Albert Einstein ,2024,48.3,50.8,?5.0,?5.0,6.2,15.9,50.4,?5.0,?5.0,22.5,20.9,44.8,14.3,61.9,87.9,84.7,8.2,12.4,10.1,26.7,21.3
Bethesda-Chevy Chase ,2368,49.2,50.2,?5.0,?5.0,6.7,16.7,21,?5.0,5.8,49.4,9,22,6,28.9,91.5,93.5,?5.0,8.9,14.7,21.8,17.4
Clarksburg ,2214,47.3,52.3,?5.0,?5.0,24.4,28.4,27.1,?5.0,5.2,14.5,9.5,37.1,9.4,50.1,88.8,?95.0,?5.0,12.5,12.1,18,16.6
Col. Zadok Magruder ,1620,47.1,52.8,?5.0,?5.0,12,19.4,44.1,?5.0,?5.0,20.2,16.7,47.5,13.2,62.6,89.2,93.9,?5.0,11.9,11,25,21.6
Damascus ,1398,48.9,51.1,?5.0,?5.0,11.3,13,30.8,?5.0,6,38.5,7.4,31.6,15.9,41.8,90.2,91.5,?5.0,8.4,10.9,25.7,22.5
Gaithersburg ,2454,46.5,53.3,?5.0,?5.0,6,20.3,62,?5.0,?5.0,8.8,30.6,56.4,11.1,76.6,85.3,77.7,16.7,21.7,9.9,22.8,21.2
James Hubert Blake ,1809,51.2,48.3,?5.0,?5.0,10,40.1,34.7,?5.0,?5.0,11.3,12.7,53,7.1,66.7,99.3,91.4,6.8,12.4,13.5,27.3,24.9
John F. Kennedy ,1854,49.5,50.4,?5.0,?5.0,?5.0,21.6,68.1,?5.0,?5.0,?5.0,30.3,65.9,10.5,82.1,85.3,77.9,18,21.3,10,21.6,21.8
Montgomery Blair ,3260,47,52.2,?5.0,?5.0,10.4,24.5,38.2,?5.0,?5.0,22.2,19.4,45.3,7.6,55.1,87.9,87.3,11.1,11.9,13.3,21.6,22.3
Northwest ,2385,48.4,51.2,?5.0,?5.0,20.5,26.1,26.2,?5.0,5.5,21.5,8.9,35,7.9,47.9,90.5,?95.0,?5.0,9,12.6,24.8,23.8
Northwood ,1745,52,47.6,?5.0,?5.0,?5.0,23.5,59.3,?5.0,?5.0,10.5,27,62.9,8.5,76.5,85.9,82.9,14.8,17.9,9.7,18.5,19.5
Paint Branch ,2115,49.6,50.3,?5.0,?5.0,10,58.1,26.3,?5.0,?5.0,?5.0,10.1,55.5,11.6,73.3,90.7,90.3,5.8,11.8,11.6,22.7,22.4
Poolesville ,1332,50.1,49.8,?5.0,?5.0,36.4,7.7,10.3,?5.0,7,38.5,?5.0,10.7,5.9,16.9,93,?95.0,?5.0,3,13.8,22.8,24.9
Quince Orchard ,2150,46.7,52.8,?5.0,?5.0,10.2,16,36.1,?5.0,5.2,32.3,14.3,38.9,8.9,50.1,88.9,90.1,6.9,12.9,11.7,25.4,24.1
Richard Montgomery ,2386,49.2,50.2,?5.0,?5.0,24,15.1,26.8,?5.0,5.7,27.9,12.4,29,6.2,39.3,90,94.8,?5.0,11.1,13.1,24,22.9
Rockville ,1538,45.5,54.3,?5.0,?5.0,11.8,14.5,45.7,?5.0,?5.0,23,17.6,45.7,17.2,59.5,90.2,89.2,6.3,11.2,9.9,22.5,21.4
Seneca Valley ,2385,48.4,51.3,?5.0,?5.0,10.6,37.4,34.7,?5.0,?5.0,12.3,11,49.7,12,66.6,87.3,85.7,8.8,14.8,10.8,23.8,21.8
Sherwood ,1692,46.5,53,?5.0,?5.0,11.1,17.3,18.9,?5.0,5.5,47.2,?5.0,20.8,10.4,31.2,91.2,89.9,5.8,6,11.6,25.9,24.6
Springbrook ,1873,43.8,55.9,?5.0,?5.0,9.9,36.8,45.9,?5.0,?5.0,?5.0,22.2,61,6.9,75.3,89.5,86.3,9.8,17.8,12.2,21.7,21.5
Thomas S. Wootton ,1875,48.7,51,?5.0,?5.0,37.5,13.7,8.8,?5.0,5.2,34.6,?5.0,13.2,8,18.8,93.7,?95.0,?5.0,3.9,13.5,27.7,26.7
Walt Whitman ,2042,47.2,52.5,?5.0,?5.0,15.2,?5.0,12.4,?5.0,8.2,59.2,?5.0,6.4,10.6,8.4,94,94,?5.0,6.5,12.3,25.6,26.1
Walter Johnson ,2984,47.9,51.7,?5.0,?5.0,12.4,14.7,18.6,?5.0,6.7,47.2,6.5,18.5,9.7,26.7,92.5,93.7,?5.0,7.3,14.6,24,26.8
Watkins Mill ,1660,45.5,54.4,?5.0,?5.0,8.1,23.9,59.6,?5.0,?5.0,5.7,31.6,61.7,11.6,81.8,83,81.2,14.4,23.2,9.7,20.4,19.9
Wheaton ,2747,42.3,57.6,?5.0,?5.0,10.5,19.4,57.7,?5.0,?5.0,9.6,22.9,55.9,9.8,76.1,88.6,82.2,12.3,14.8,12.7,24.6,23
Winston Churchill ,2203,46.8,52.7,?5.0,?5.0,32.3,11.5,8.9,?5.0,6,41.3,?5.0,10.7,10.8,14,93.7,?95.0,?5.0,4.3,12,26.7,27.4
